ID Transação;ID Cliente;Data Compra;Data Envio;Tempo Entrega (dias);Região;Categoria Produto;Produto;Forma Pagamento;Valor Compra (R$);Reclamação;Comentários;Nota
1;CUST00001;07/06/25;16/06/25;9;Sul;Limpeza Doméstica;Detergente Líquido 500ml;PIX;526;Não;-;3
2;CUST00002;30/05/25;02/06/25;3;Nordeste;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2937;Não;-;3
3;CUST00003;30/06/25;05/07/25;5;Sul;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1537;Não;-;3
4;CUST00004;18/05/25;21/05/25;3;Sudeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;933;Não;-;3
5;CUST00005;25/05/25;29/05/25;4;Centro-Oeste;Bebidas;Água Mineral 1,5L;PIX;285;Não;-;3
6;CUST00006;23/05/25;25/05/25;2;Nordeste;Alimentos Básicos;Feijão Carioca (1kg);PIX;630;Não;-;3
7;CUST00007;30/06/25;05/07/25;5;Norte;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1589;Não;-;3
8;CUST00008;20/06/25;22/06/25;2;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;690;Não;Ótima qualidade;4
9;CUST00009;20/06/25;24/06/25;4;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Débito;284;Não;-;3
10;CUST00010;27/06/25;28/06/25;1;Nordeste;Higiene Pessoal;Shampoo 400ml;Cartão Débito;1729;Não;-;3
11;CUST00011;15/06/25;16/06/25;1;Sudeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;896;Sim;Cobrança duplicada e cor incorreta;1
12;CUST00012;16/06/25;21/06/25;5;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;2542;Sim;Quantidade incorreta;1
13;CUST00013;25/05/25;04/06/25;10;Sul;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1681;Não;-;3
14;CUST00014;30/06/25;04/07/25;4;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;140;Sim;Produto danificado;1
15;CUST00015;29/06/25;03/07/25;4;Centro-Oeste;Limpeza Doméstica;Detergente Líquido 500ml;PIX;300;Não;-;3
16;CUST00016;28/05/25;31/05/25;3;Centro-Oeste;Higiene Pessoal;Sabonete em Barra;Dinheiro;343;Não;Entrega rápida e sem problemas;4
17;CUST00017;17/06/25;26/06/25;9;Sul;Alimentos Básicos;Farinha de Trigo 1kg;PIX;626;Não;-;3
18;CUST00018;30/06/25;01/07/25;1;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Débito;643;Não;-;3
19;CUST00019;29/06/25;06/07/25;7;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;333;Sim;Embalagem violada;1
20;CUST00020;13/06/25;18/06/25;5;Sul;Higiene Pessoal;Shampoo 400ml;PIX;1304;Sim;Produto diferente do pedido;2
21;CUST00021;29/05/25;03/06/25;5;Norte;Limpeza Doméstica;Sabão em Pó 1kg;PIX;698;Não;-;3
22;CUST00022;23/05/25;27/05/25;4;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;644;Não;-;3
23;CUST00023;16/05/25;23/05/25;7;Sul;Bebidas;Suco de Laranja 1L;Cartão Crédito;786;Não;-;3
24;CUST00024;22/06/25;23/06/25;1;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;394;Sim;Atendimento ruim;2
25;CUST00025;25/05/25;29/05/25;4;Nordeste;Higiene Pessoal;Shampoo 400ml;Cartão Débito;994;Não;-;3
26;CUST00026;01/06/25;05/06/25;4;Sudeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;796;Não;-;3
27;CUST00027;27/05/25;01/06/25;5;Centro-Oeste;Bebidas;Água Mineral 1,5L;Cartão Débito;211;Não;Produto conforme anunciado;5
28;CUST00028;03/06/25;05/06/25;2;Nordeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;425;Sim;Atraso na entrega;1
29;CUST00029;10/06/25;15/06/25;5;Sul;Higiene Pessoal;Creme Dental 90g;Cartão Débito;283;Não;-;3
30;CUST00030;30/05/25;03/06/25;4;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;1342;Não;-;3
